

|Vertice 	|L 	|N 	|Pai
|   1	|22	|4	|5
|   5	|14	|3	|6
|   3	|27	|5	|1
|   30	|19	|4	|2
|   2	|10	|3	|7
|   7	|5	|2	|8
|   8	|2	|1	|10
|   10	|1	|0	|
|   11	|3	|1	|10
|   13	|6	|2	|11
|   20	|11	|3	|13
|   25	|20	|4	|20
|   26	|25	|5	|25
|   24	|26	|5	|23
|   21	|29	|6	|24
|   23	|21	|4	|17
|   17	|12	|3	|13
|   12	|13	|3	|13
|   16	|9	|2	|9
|   9	|4	|1	|10
|   6	|7	|2	|9
|   4	|23	|4	|5
|   29	|30	|6	|3
|   28	|28	|5	|4
|   14	|24	|4	|18
|   18	|15	|3	|6
|   15	|8	|2	|9
|   22	|17	|3	|16
|   27	|18	|3	|16
|   19	|16	|3	|15
